all.q:compute-0-9.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:36503:51096:0:0:0:0:0:1128949:144:0:0:0:0:0:0:20568:924759:NONE:defaultdepartment:orte:120:0:87599:0:0:-pe orte 120:0:1.compute-0-9:0
all.q:compute-0-10.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:38083:49558:0:0:0:0:0:899617:117:0:0:0:0:0:0:13134:288204:NONE:defaultdepartment:orte:120:0:87641:0:0:-pe orte 120:0:1.compute-0-10:0
all.q:compute-0-9.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1258122164:1260512814:1260523805:0:0:10991:0:0:0:0:0:0:0:2556:1:0:0:0:0:0:0:12647:8564:NONE:defaultdepartment:orte:120:0:0.28:0.01:0:-pe orte 120:0:NONE:1195745280
all.q:compute-0-15.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:18041:23025:0:0:0:0:0:319925:44:0:0:0:0:0:0:11654:155667:NONE:defaultdepartment:orte:120:0:41066:0:0:-pe orte 120:0:1.compute-0-15:0
all.q:compute-0-5.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:8979:11590:0:0:0:0:0:171539:10:0:0:0:0:0:0:11971:37444:NONE:defaultdepartment:orte:120:0:20569:0:0:-pe orte 120:0:1.compute-0-5:0
all.q:compute-0-7.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523811:1260523811:1260534116:0:0:10305:35846:46345:0:0:0:0:0:953013:105:0:0:0:0:0:0:12429:271605:NONE:defaultdepartment:orte:120:0:82191:0:0:-pe orte 120:0:1.compute-0-7:0
all.q:compute-0-12.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523811:1260523811:1260534116:0:0:10305:22663:28698:0:0:0:0:0:408659:51:0:0:0:0:0:0:11879:202899:NONE:defaultdepartment:orte:120:0:51361:0:0:-pe orte 120:0:1.compute-0-12:0
all.q:compute-0-9.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:24655:37061:0:0:0:0:0:506648:63:0:0:0:0:0:0:14302:122942:NONE:defaultdepartment:orte:120:0:61716:0:0:-pe orte 120:0:1.compute-0-9:0
all.q:compute-0-21.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523811:1260523811:1260534116:0:0:10305:35640:46572:0:0:0:0:0:986266:104:0:0:0:0:0:0:12422:276873:NONE:defaultdepartment:orte:120:0:82212:0:0:-pe orte 120:0:1.compute-0-21:0
all.q:compute-0-19.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:35754:46447:0:0:0:0:0:900429:114:0:0:0:0:0:0:12401:278991:NONE:defaultdepartment:orte:120:0:82201:0:0:-pe orte 120:0:1.compute-0-19:0
all.q:compute-0-16.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:35848:46357:0:0:0:0:0:908204:131:0:0:0:0:0:0:12474:279531:NONE:defaultdepartment:orte:120:0:82205:0:0:-pe orte 120:0:1.compute-0-16:0
all.q:compute-0-3.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:17590:23469:0:0:0:0:0:320657:41:0:0:0:0:0:0:11669:164017:NONE:defaultdepartment:orte:120:0:41059:0:0:-pe orte 120:0:1.compute-0-3:0
all.q:compute-0-2.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:35808:46391:0:0:0:0:0:938111:112:0:0:0:0:0:0:12497:269792:NONE:defaultdepartment:orte:120:0:82199:0:0:-pe orte 120:0:1.compute-0-2:0
all.q:compute-0-22.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:22878:28489:0:0:0:0:0:389543:51:0:0:0:0:0:0:11761:218489:NONE:defaultdepartment:orte:120:0:51367:0:0:-pe orte 120:0:1.compute-0-22:0
all.q:compute-0-0.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523811:1260523811:1260534116:0:0:10305:35604:46545:0:0:0:0:0:1034650:121:0:0:0:0:0:0:18923:682272:NONE:defaultdepartment:orte:120:0:82149:0:0:-pe orte 120:0:1.compute-0-0:0
all.q:compute-0-23.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:35734:46462:0:0:0:0:0:861312:121:0:0:0:0:0:0:12445:279457:NONE:defaultdepartment:orte:120:0:82196:0:0:-pe orte 120:0:1.compute-0-23:0
all.q:compute-0-4.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:36057:46158:0:0:0:0:0:876840:102:0:0:0:0:0:0:12412:282597:NONE:defaultdepartment:orte:120:0:82215:0:0:-pe orte 120:0:1.compute-0-4:0
all.q:compute-0-13.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:35441:46699:0:0:0:0:0:918908:126:0:0:0:0:0:0:12495:276911:NONE:defaultdepartment:orte:120:0:82140:0:0:-pe orte 120:0:1.compute-0-13:0
all.q:compute-0-18.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523811:1260523811:1260534116:0:0:10305:27060:34591:0:0:0:0:0:511691:73:0:0:0:0:0:0:12001:221746:NONE:defaultdepartment:orte:120:0:61651:0:0:-pe orte 120:0:1.compute-0-18:0
all.q:compute-0-14.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523814:1260523814:1260534116:0:0:10302:36094:46103:0:0:0:0:0:972874:98:0:0:0:0:0:0:12355:282449:NONE:defaultdepartment:orte:120:0:82197:0:0:-pe orte 120:0:1.compute-0-14:0
all.q:compute-0-24.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1260523811:1260523811:1260534116:0:0:10305:36230:45941:0:0:0:0:0:956931:131:0:0:0:0:0:0:12308:282949:NONE:defaultdepartment:orte:120:0:82171:0:0:-pe orte 120:0:1.compute-0-24:0
all.q:compute-0-0.local:kank:kank:WhiteKascade_abyss-k22.qsub:122734:sge:0:1258122174:1260523811:1260534116:0:0:10305:0:0:0:0:0:0:0:2666:1:0:0:0:0:0:0:12104:5885:NONE:defaultdepartment:orte:120:0:0.35:0.01:0:-pe orte 120:0:NONE:1400471552
